Artist:,Song:,Song ID:
AC/DC,Who Made Who,60693
AC/DC,Sin City,60694
AC/DC,Sink The Pink,60695
AC/DC,Girls Got Rhythm,60696
AC/DC,Rock & Roll Ain't Noise Pollution,60697
AC/DC,Ride On,62352
Accept,Balls To The Wall,60862
Ace,How Long,54698
Ace Hood Feat Trey Songz,Ride,50261
Ace Hood Feat Trey Songz,Ride (MPX),50270
ACE OF BASE,ALL THAT SHE WANTS,1334
ACE OF BASE,"SIGN, THE",1403
ACE OF BASE,BEAUTIFUL LIFE (P),7532
Ace Of Base,All That She Wants,53587
Ace Of Base,"Sign, The",53633
Ace Of Base,Don't Turn Around,53927
Ace Of Base,Beautiful Life,55109
Ace Of Base,Lucky Love,55608
Ace Of Base,Never Gonna Say I'm So Sorry,63253
Ace Of Base,Whenever You're Near Me,63629
Ace Of Base,Life Is A Flower,65260
Ace Of Base,Always Have Always Will,65328
Ace Of Base,Every Time It Rains,65362
Ace Of Base,Cruel Summer,67916
Ace Of Base,Living In Danger,69532
Ace Of Base,Angel Of Harlem,70014
"ACE, JOHNNY",PLEDGING MY LOVE,4014
"Ace, Johnny",Pledging My Love,59183
"ACUFF, ROY",WABASH CANNONBALL,2289
"Acuff, Roy",Wabash Cannonball,54965
"Ad Libs, The","Boy From New York City, The",69185
"ADAMS, B. & MELANIE",WHEN YOU'RE GONE,5070
"ADAMS, BRYAN","BEST OF ME, THE",3164
"ADAMS, BRYAN",HAVE YOU EVER REALLY LOVED A  WOMAN,4272
"ADAMS, BRYAN",LET'S MAKE A NIGHT TO REMEMBER,4302
"ADAMS, BRYAN",ONLY THING THAT LOOKS GOOD ON ME,4326
"ADAMS, BRYAN",HEAVEN,7283
"ADAMS, BRYAN",SUMMER OF 69,7364
"ADAMS, BRYAN",STRAIGHT FROM THE HEART,8025
"Adams, Bryan",Heaven,50458
"Adams, Bryan",Heaven,51128
"Adams, Bryan",It's Only Love,52842
"Adams, Bryan",Summer Of '69,53157
"Adams, Bryan",Run To You,53184
"Adams, Bryan",Please Forgive Me,53664
"Adams, Bryan",Have You Ever Really Loved A Woman,54450
"Adams, Bryan",Can't Stop This Thing We Started,55301
"Adams, Bryan",There Will Never Be Another Tonight,55330
"Adams, Bryan",Thought I'd Died & Gone To Heaven,55350
"Adams, Bryan",Do I Have To Say The Words,55733
"Adams, Bryan",Let's Make A Night To Remember,56396
"Adams, Bryan","Only Thing That Looks Good On Me, The",56852
"Adams, Bryan",Cuts Like A Knife,57451
"Adams, Bryan",Back To You,57864
"Adams, Bryan",Straight From The Heart,58967
"Adams, Bryan",Heaven,58973
"Adams, Bryan",Here I Am,64072
"Adams, Bryan",Cloud No. 9,65438
"Adams, Bryan",Inside Out,65448
"Adams, Bryan",On A Day Like Today,68084
"Adams, Bryan",I'll Always Be Right There,68319
"Adams, Bryan","Everything I Do, I Do It For You",69121
"Adams, Bryan",This Time I'm In It For Love,69514
"Adams, Bryan","Best Of Me, The",69856
"Adams, Bryan & Stin",All For Love,53579
"ADAMS, FAYE",SHAKE A HAND,4107
"ADAMS, OLETA",GET HERE,3518
"Adams, Oleta",Get Here,53639
"Adams, Oleta","Day I Stop Loving You, The",55433
"Adams, Oleta",Never Knew Love,55484
"Adams, Oleta",Circle Of One,55835
"Adams, Oleta",Embraceable You,63928
"Adams, Oleta",We Will Meet Again,63929
"Adams, Ryan","New York, New York",61260
"Adams, Ryan",Answering Bell,61364
"Adams, Ryan",Rocket Man,68548
"Adams, Ryan",So Alive,68579
"ADAMS, YOLANDA",OPEN MY HEART,6785
"Adams, Yolanda",Open My Heart,60139
"Addotta, Kip",Wet Dream,60779
Adele,Right As Rain,50033
Adele,Right As Rain  (MPX),50042
Adema,"Way You Like It, The",52984
Adema,Giving In,66356
Adema,Unstable,66457
Adema,Promises,66478
"ADKINS, TRACE",DON'T LIE,1746
"ADKINS, TRACE",I'M GONNA LOVE YOU ANYWAY,4753
"Adkins, Trace",There's A Girl In Texas,55927
"Adkins, Trace",Every Light In The House Is On,56395
"Adkins, Trace",This Ain't No Thinkin' Thing,57133
"Adkins, Trace",I Left Something Turned On At Home,57221
"Adkins, Trace","Rest Of Mine, The",57575
"Adkins, Trace",Don't Lie,58881
"Adkins, Trace",More,59279
"Adkins, Trace",I'm Gonna Love You Anyway,59731
"Adkins, Trace",I'm Tryin',60881
"Adkins, Trace",Help Me Understand,61303
"Adkins, Trace",Chrome,61894
"Adkins, Trace",Then They Do,62267
"Adkins, Trace",Hot Mama,62724
"Adkins, Trace",Rough & Ready,66688
"Adkins, Trace",Lonely Won't Leave Me Alone,67330
"Adkins, Trace",Big Time,68148
Adriana,Headstrong,66376
AEROSMITH,DREAM ON (P),1536
AEROSMITH,TOYS IN THE ATTIC (P),1666
AEROSMITH,ANGEL,2658
AEROSMITH,I DON'T WANT TO MISS A THING,2827
AEROSMITH,TRAIN KEPT A ROLLIN',3136
AEROSMITH,FALLING IN LOVE,6655
AEROSMITH,LIVIN' ON THE EDGE,6906
AEROSMITH,CRYIN',7142
AEROSMITH,WALK THIS WAY,7223
AEROSMITH,ANGEL'S EYE,7538
AEROSMITH,JADED,7960
AEROSMITH,JANIE'S GOT A GUN,7962
AEROSMITH,BIG TEN INCH RECORD,8058
Aerosmith,Big Ten Inch Record,53722
Aerosmith,Draw The Line,57632
Aerosmith,Dude (Looks Like A Lady),59788
Aerosmith,Back In The Saddle,59789
Aerosmith,Rag Doll,59790
Aerosmith,Angel,59791
Aerosmith,Dream On,59792
Aerosmith,Sweet Emotion,59793
Aerosmith,Janie's Got A Gun,59794
Aerosmith,Falling In Love (Is Hard On The Knees),59795
Aerosmith,Same Old Song & Dance,59796
Aerosmith,Toys In The Attic,59797
Aerosmith,Crazy,59798
Aerosmith,Pink,59799
Aerosmith,Walk This Way,59800
Aerosmith,Love In An Elevator,59801
Aerosmith,I Don't Want To Miss A Thing,59802
Aerosmith,Angel's Eye,60116
Aerosmith,Just Push Play,60662
Aerosmith,Livin' On The Edge,60815
Aerosmith,What It Takes,60816
Aerosmith,Amazing,60817
Aerosmith,Cryin',60818
Aerosmith,Mama Kin,60819
Aerosmith,Eat The Rich,60820
Aerosmith,"Other Side, The",60821
Aerosmith,Sunshine,61103
Aerosmith,Jaded,61233
Aerosmith,Girls Of Summer,61562
Aerosmith,Last Child,61854
Aerosmith,"Baby, Please Don't Go",62964
Aerosmith,Fly Away From Here,66346
Aerosmith,Hole In My Soul,67498
Aerosmith,What Kind Of Love Are You On,67965
Aerosmith,Train Kept A Rollin',69775
Aerosmith,Luv Lies,69900
Aerosmith & Run DMC,Walk This Way,50828
Aerosmith & Run DMC,Walk This Way,51498
Aerosmith & Run DMC,Walk This Way,61468
AFI,Girl's Not Grey,66427
AFI,"Leaving Song, The (Pt 2)",66455
AFI,Silver & Cold,66496
Afro-Celt & Peter G,When You're Falling,66349
Afroman,Because I Got High,60955
After 7,Til You Do Me Right,54684
After 7,How Do You Tell The One,55752
After The Fire,Der Kommissar,58260
Aguilera  Christina,Car Wash,66820
Aguilera  Christina   Missy Elliott,Car Wash,67041
"Aguilera, Christia",What A Girl Wants,60090
"AGUILERA, CHRISTINA",GENIE IN A BOTTLE,1796
"AGUILERA, CHRISTINA",I TURN TO YOU,2540
"AGUILERA, CHRISTINA",COME ON OVER,3189
"AGUILERA, CHRISTINA",WHAT A GIRL WANTS,3323
"AGUILERA, CHRISTINA",LOVE FOR ALL SEASONS,6463
"AGUILERA, CHRISTINA",LOVE WILL FIND A WAY,6465
"AGUILERA, CHRISTINA",WHEN YOU PUT YOUR HANDS ON ME,6492
"AGUILERA, CHRISTINA",BLESSED,6510
"AGUILERA, CHRISTINA",OBVIOUS,6585
"AGUILERA, CHRISTINA",REFLECTION,6594
"AGUILERA, CHRISTINA",SO EMOTIONAL,6610
"AGUILERA, CHRISTINA",SOMEBODY'S SOMEBODY,6612
"Aguilera, Christina",Pero Me Acuerdo De Ti,52128
"Aguilera, Christina",We're A Miracle,52718
"Aguilera, Christina",Somebody's Somebody,52825
"Aguilera, Christina",Ven Conmigo (Solamente Tu),52875
"Aguilera, Christina",Cuando No Es Contigo,52876
"Aguilera, Christina",Por Siempre Tu,52877
"Aguilera, Christina",Una Mujer,52878
"Aguilera, Christina",Genio Atrapado,52879
"Aguilera, Christina",Falsas Esperanzas,52880
"Aguilera, Christina",Contigo En La Distancia,52881
"Aguilera, Christina",Si No Te Hubiera Conocido,52882
"Aguilera, Christina",Genie In A Bottle,60086
"Aguilera, Christina",I Turn To You,60087
"Aguilera, Christina",Come On Over (All I Want Is You),60091
"Aguilera, Christina",Blessed,60094
"Aguilera, Christina",So Emotional,60096
"Aguilera, Christina",Love Will Find A Way,60097
"Aguilera, Christina",Lady Marmalade,61214
"Aguilera, Christina",Dirrty,61834
"Aguilera, Christina",Fighter,62312
"Aguilera, Christina",Impossible,62317
"Aguilera, Christina",Can't Hold Us Down,62548
"Aguilera, Christina",Beautiful,62658
"Aguilera, Christina","Voice Within, The",62740
"Aguilera, Christina","Real Slim Shady, The (Please Shut Up)",63912
A-HA,TAKE ON ME,2219
A-Ha,Take On Me,53369
A-Ha,"Living Daylights, The",67771
Aiken  Clay,I Will Carry You,66727
Aiken  Clay,I Will Carry You,67039
"Aiken, Clay",Bridge Over Troubled Water,62481
"Aiken, Clay",This Is The Night,62649
"Aiken, Clay",Invisible,62694
"Aiken, Clay","Way, The",62843
"Aiken, Clay",Solitaire,62944
Ainsley,Keep Me A Secret,65965
AIR SUPPLY,"ONE THAT YOU LOVE, THE",867
AIR SUPPLY,ALL OUT OF LOVE,1445
Air Supply,All Out Of Love,50469
Air Supply,Lost In Love,50495
Air Supply,"One That You Love, The",50808
Air Supply,All Out Of Love,51139
Air Supply,Lost In Love,51165
Air Supply,"One That You Love, The",51478
Air Supply,Even The Nights Are Better,55628
Air Supply,Making Love Out Of Nothing At All,55830
Air Supply,"One That You Love, The",55967
Air Supply,Lost In Love,57025
Air Supply,All Out Of Love,57030
Air Supply,Every Woman In The World,57449
Air Supply,Here I Am (Just When I Thought I Was),59781
"AKENS, JEWEL","BIRDS & THE BEES, THE",290
"Akens, Jewel","Birds & The Bees, The",51865
"Akens, Jewel","Birds & The Bees, The",56906
"Akins, Rhett",That Ain't My Truck,54669
"Akins, Rhett",She Said Yes,54924
"Akins, Rhett","Thousand Memories, A",55520
"Akins, Rhett",I Brake For Brunettes,55647
"Akins, Rhett",What They're Talkin' About,55712
"Akins, Rhett",Don't Get Me Started,55735
"Akins, Rhett",Love You Back,56566
"Akins, Rhett",More Than Everything,57780
"Akins, Rhett",Better Than It Used To Be,63531
"Akins, Rhett",Drivin' My Life Away,63547
"Akins, Rhett",Every Cowboy's Dream,68313
Akon   Styles P,Locked Up,66956
ALABAMA,FACE TO FACE,372
ALABAMA,FALLIN' AGAIN,374
ALABAMA,MOUNTAIN MUSIC (DKE),799
ALABAMA,YOU'VE GOT THE TOUCH,1258
ALABAMA,BORN COUNTRY,1519
ALABAMA,GOD MUST HAVE SPENT (COUNTRY),1808
ALABAMA,KEEPIN' UP,1944
ALABAMA,SMALL STUFF,2165
ALABAMA,WE MADE LOVE,2305
ALABAMA,FORTY HOUR WEEK,3511
ALABAMA,OLD FLAME,3678
ALABAMA,SONG OF THE SOUTH,3734
ALABAMA,ANGELS AMONG US,5170
ALABAMA,CAN'T KEEP A GOOD MAN DOWN,5174
ALABAMA,"CHEAP SEATS, THE",5176
ALABAMA,CLOSE ENOUGH TO PERFECT,5177
ALABAMA,"DANCIN', SHAGGIN' ON THE BOULEVARD",5180
ALABAMA,DIXIELAND DELIGHT,5181
ALABAMA,FIRE IN THE NIGHT,5183
ALABAMA,HERE WE ARE,5189
ALABAMA,HOMETOWN HONEYMOON,5191
ALABAMA,HOW DO YOU FALL IN LOVE,5192
ALABAMA,IF I HAD YOU,5201
ALABAMA,IF YOU'RE GONNA PLAY IN TEXAS,5202
ALABAMA,JUKEBOX IN MY MIND,5205
ALABAMA,MY HOME'S IN ALABAMA,5224
ALABAMA,OF COURSE I'M ALRIGHT,5229
ALABAMA,ONCE UPON A LIFETIME,5231
ALABAMA,PASS IT ON DOWN,5235
ALABAMA,SAY I,5240
ALABAMA,SHE & I,5241
ALABAMA,SHE'S GOT THAT LOOK IN HER EYES,5242
ALABAMA,T L C A S A P,5251
ALABAMA,TAKE A LITTLE TRIP,5252
ALABAMA,THEN AGAIN,5255
ALABAMA,THERE'S NO WAY,5258
ALABAMA,WHY LADY WHY,5273
ALABAMA,IT WORKS,6766
ALABAMA,"MAKER SAID TAKE HER, THE",6916
ALABAMA,FOREVER'S AS FAR AS I'LL GO,7571
ALABAMA,WHEN IT ALL GOES SOUTH,7673
Alabama,You've Got The Touch,50949
Alabama,You've Got The Touch,51619
Alabama,"Closer You Get, The",52478
Alabama,T.L.C.A.S.A.P.,53526
Alabama,Reckless,53894
Alabama,Forever's As Far As I'll Go,53971
Alabama,We Can't Love Like This Anymore,54028
Alabama,Angels Among Us,54156
Alabama,Give Me One More Shot,54299
Alabama,There's No Way,54333
Alabama,Cheap Seats,54419
Alabama,Here We Are,54432
Alabama,Hometown Honeymoon,54522
Alabama,I'm In A Hurry (& Don't Know Why),54542
Alabama,Once Upon A Lifetime,54580
Alabama,She Ain't Your Ordinary Girl,54664
Alabama,In Pictures,54830
Alabama,Then Again,55048
Alabama,Between The Two Of Them,55309
Alabama,It Works,55360
Alabama,Pictures & Memories,55859
Alabama,Say I,55988
Alabama,That Feeling,56023
Alabama,Katy Brought My Guitar Back Today,56190
Alabama,On This Side Of The Moon,56274
Alabama,"Maker Said Take Her, The",56283
Alabama,Close Enough To Perfect,56539
Alabama,Sad Lookin' Moon,57137
Alabama,Dancin' Shaggin' On The Boulevard,57336
Alabama,Touch Me When We're Dancing,57344
Alabama,Of Course I'm Alright,57677
Alabama,Take Me Down,57711
Alabama,Born Country,58042
Alabama,Southern Star,58189
Alabama,Keepin' Up,58232
Alabama,God Must Have Spent A Little More Time,58602
Alabama,Old Flame,58808
Alabama,Small Stuff,58932
Alabama,Twentieth Century,59276
Alabama,We Made Love,59559
Alabama,Tennessee River,59697
Alabama,Dixieland Delight,59701
Alabama,Fallin' Again,59707
Alabama,Will You Marry Me,60661
Alabama,"Woman He Loves, The",61078
Alabama,I'm In The Mood,61575
Alabama,Can't Keep A Good Man Down,61788
Alabama,You've Got The Touch,61789
Alabama,Feels So Right,61790
Alabama,Down Home,61791
Alabama,High Cotton,61792
Alabama,Mountain Music,61793
Alabama,Jukebox In My Mind,61794
Alabama,When It All Goes South,61795
Alabama,Roll On Eighteen Wheeler,61796
Alabama,Love In The First Degree,61797
Alabama,Song Of The South,61798
Alabama,Why Lady Why,61799
Alabama,When We Make Love,61800
Alabama,Forty Hour Week,61801
Alabama,She's Got That Look In Her Eyes,67440
Alabama,How Do You Fall In Love,67857
Alabama,Lady Down On Love,68136
Alabama,Take A Little Trip,68256
Alabama,If You're Gonna Play In Texas,69329
Alabama,My Home's In Alabama,69470
Alan Jackson,Country Boy,50224
Alan Jackson,Country Boy (MPX),50233
Alan Jackson,Good Time,67187
ALAN PARSONS PROJEC,EYE IN THE SKY,1771
Alan Parsons Projec,Eye In The Sky,50386
Alan Parsons Projec,Eye In The Sky,51056
Alan Parsons Projec,Games People Play,53396
Alan Parsons Projec,Eye In The Sky,58975
Alan Parsons Projec,Don't Answer Me,60505
Alan Price Set,"Hi-Lili, Hi-Lo",65010
Alan Price Set,"House That Jack Built, The",65027
"ALBERT, MORRIS",FEELINGS,382
"Albert, Morris",Feelings,53733
Alcazar,Crying At The Discoteque,65819
Alda,"Real Good Time, A",65265
Alda,Girls Night Out,65326
Alda,"Little Bit More, A",65327
Aldean Jason,Big Green Tractor,67202
"Alexander, Jessi",Honeysuckle Sweet,66694
ALFONZO HUNTER,WEEKEND THANG,7860
Alfonzo Hunter,Weekend Thang,67660
"Ali, Tatyana",Daydreamin',65315
Alice In Chains,No Excuses,53782
Alice In Chains,Again,56003
Alien Ant Farm,Movies,60603
Alien Ant Farm,Smooth Criminal,61519
Alien Ant Farm,These Days,66456
Alisha's Attic,"Incidentals, The",65292
Alisha's Attic,"I Am, I Feel",67497
Alithia & Donna,Uptown Top Ranking,65417
ALL FOR ONE,I SWEAR,538
ALL SAINTS,NEVER EVER,7797
All Saints,Under The Bridge,65217
All Saints,Bootie Call,65262
All Saints,War Of Nerves,65300
All Saints,Pure Shores,65572
All Saints,Black Coffee,65666
All Saints,All Hooked Up,65683
All Saints,I Know Where It's At,66171
All Saints,Never Ever,67781
All-4-One,I Swear,53773
All-4-One,I Can Love You Like That,54679
All-4-One,I Will Be Right Here,58917
All-4-One,So Much In Love,63017
All-4-One,She's Got Skillz,69559
All-4-One,I'm Your Man,69574
All-American Reject,Swing Swing,62308
All-American Reject,"Last Song, The",62475
All-American Rejects,Gives You Hell,67136
"ALLAN, GARY",LOVIN' YOU AGAINST MY WILL,2003
"ALLAN, GARY",SMOKE RINGS IN THE DARK,2168
"ALLAN, GARY",RIGHT WHERE I NEED TO BE,8007
"Allan, Gary",Her Man,56384
"Allan, Gary",From Where I'm Sitting,57227
